,task,model,pattern,tot_score,%_score
238,negation2,xglm_one_1beam,P1|P2|NEG,1,0.0003333333333333333
239,negation2,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
240,negation2,xglm_one_1beam,P1|P3|nNEG,0,0.0
241,negation2,xglm_one_1beam,P1|P3|nNEG|N1,0,0.0
242,negation2,xglm_one_2beam,P1,1054,0.35133333333333333
243,negation2,xglm_one_2beam,P1|N1,1051,0.35033333333333333
244,negation2,xglm_one_2beam,P1|P2|NEG,2,0.0006666666666666666
245,negation2,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
246,negation2,xglm_one_2beam,P1|P3|nNEG,1,0.0003333333333333333
247,negation2,xglm_one_2beam,P1|P3|nNEG|N1,0,0.0
248,negation2,xglm_zero_1beam,P1,1088,0.3626666666666667
249,negation2,xglm_zero_1beam,P1|N1,703,0.23433333333333334
250,negation2,xglm_zero_1beam,P1|P2|NEG,219,0.073
251,negation2,xglm_zero_1beam,P1|P2|NEG|N1,110,0.03666666666666667
252,negation2,xglm_zero_1beam,P1|P3|nNEG,435,0.145
253,negation2,xglm_zero_1beam,P1|P3|nNEG|N1,234,0.078
254,negation2,xglm_zero_2beam,P1,2043,0.681
255,negation2,xglm_zero_2beam,P1|N1,734,0.24466666666666667
256,negation2,xglm_zero_2beam,P1|P2|NEG,504,0.168
257,negation2,xglm_zero_2beam,P1|P2|NEG|N1,113,0.03766666666666667
258,negation2,xglm_zero_2beam,P1|P3|nNEG,1048,0.34933333333333333
259,negation2,xglm_zero_2beam,P1|P3|nNEG|N1,324,0.108
260,numerals1,mgpt_alt_1beam,P1|NEG,245,0.08166666666666667
261,numerals1,mgpt_alt_1beam,P1|NEG|N1,240,0.08
262,numerals1,mgpt_alt_1beam,P1|NEG|N1|N2,240,0.08
263,numerals1,mgpt_alt_1beam,P1|NEG|N2,245,0.08166666666666667
264,numerals1,mgpt_alt_1beam,P1|P2|NEG,0,0.0
265,numerals1,mgpt_alt_1beam,P1|P2|NEG|N1,0,0.0
266,numerals1,mgpt_alt_1beam,P1|P2|NEG|N1|N2,0,0.0
267,numerals1,mgpt_alt_1beam,P1|P2|NEG|N2,0,0.0
268,numerals1,mgpt_alt_1beam,P1|P2|P3|NEG,0,0.0
269,numerals1,mgpt_alt_1beam,P1|P2|P3|NEG|N1,0,0.0
270,numerals1,mgpt_alt_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
271,numerals1,mgpt_alt_1beam,P1|P2|P3|NEG|N2,0,0.0
272,numerals1,mgpt_one_1beam,P1|NEG,245,0.08166666666666667
273,numerals1,mgpt_one_1beam,P1|NEG|N1,240,0.08
274,numerals1,mgpt_one_1beam,P1|NEG|N1|N2,240,0.08
275,numerals1,mgpt_one_1beam,P1|NEG|N2,245,0.08166666666666667
276,numerals1,mgpt_one_1beam,P1|P2|NEG,0,0.0
277,numerals1,mgpt_one_1beam,P1|P2|NEG|N1,0,0.0
278,numerals1,mgpt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
279,numerals1,mgpt_one_1beam,P1|P2|NEG|N2,0,0.0
280,numerals1,mgpt_one_1beam,P1|P2|P3|NEG,0,0.0
281,numerals1,mgpt_one_1beam,P1|P2|P3|NEG|N1,0,0.0
282,numerals1,mgpt_one_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
283,numerals1,mgpt_one_1beam,P1|P2|P3|NEG|N2,0,0.0
284,numerals1,mgpt_zero_1beam,P1|NEG,23,0.007666666666666666
285,numerals1,mgpt_zero_1beam,P1|NEG|N1,21,0.007
286,numerals1,mgpt_zero_1beam,P1|NEG|N1|N2,20,0.006666666666666667
287,numerals1,mgpt_zero_1beam,P1|NEG|N2,20,0.006666666666666667
288,numerals1,mgpt_zero_1beam,P1|P2|NEG,0,0.0
289,numerals1,mgpt_zero_1beam,P1|P2|NEG|N1,0,0.0
290,numerals1,mgpt_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
291,numerals1,mgpt_zero_1beam,P1|P2|NEG|N2,0,0.0
292,numerals1,mgpt_zero_1beam,P1|P2|P3|NEG,0,0.0
293,numerals1,mgpt_zero_1beam,P1|P2|P3|NEG|N1,0,0.0
294,numerals1,mgpt_zero_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
295,numerals1,mgpt_zero_1beam,P1|P2|P3|NEG|N2,0,0.0
296,numerals1,xglm1.7B_zero_1beam,P1|NEG,7,0.0023333333333333335
297,numerals1,xglm1.7B_zero_1beam,P1|NEG|N1,7,0.0023333333333333335
298,numerals1,xglm1.7B_zero_1beam,P1|NEG|N1|N2,6,0.002
299,numerals1,xglm1.7B_zero_1beam,P1|NEG|N2,6,0.002
300,numerals1,xglm1.7B_zero_1beam,P1|P2|NEG,0,0.0
301,numerals1,xglm1.7B_zero_1beam,P1|P2|NEG|N1,0,0.0
302,numerals1,xglm1.7B_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
303,numerals1,xglm1.7B_zero_1beam,P1|P2|NEG|N2,0,0.0
304,numerals1,xglm1.7B_zero_1beam,P1|P2|P3|NEG,0,0.0
305,numerals1,xglm1.7B_zero_1beam,P1|P2|P3|NEG|N1,0,0.0
306,numerals1,xglm1.7B_zero_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
307,numerals1,xglm1.7B_zero_1beam,P1|P2|P3|NEG|N2,0,0.0
308,numerals1,xglm_alt_one_1beam,P1|NEG,165,0.055
309,numerals1,xglm_alt_one_1beam,P1|NEG|N1,160,0.05333333333333334
310,numerals1,xglm_alt_one_1beam,P1|NEG|N1|N2,160,0.05333333333333334
311,numerals1,xglm_alt_one_1beam,P1|NEG|N2,165,0.055
312,numerals1,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
313,numerals1,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
314,numerals1,xglm_alt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
315,numerals1,xglm_alt_one_1beam,P1|P2|NEG|N2,0,0.0
316,numerals1,xglm_alt_one_1beam,P1|P2|P3|NEG,0,0.0
317,numerals1,xglm_alt_one_1beam,P1|P2|P3|NEG|N1,0,0.0
318,numerals1,xglm_alt_one_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
319,numerals1,xglm_alt_one_1beam,P1|P2|P3|NEG|N2,0,0.0
320,numerals1,xglm_alt_one_2beam,P1|NEG,221,0.07366666666666667
321,numerals1,xglm_alt_one_2beam,P1|NEG|N1,216,0.072
322,numerals1,xglm_alt_one_2beam,P1|NEG|N1|N2,216,0.072
323,numerals1,xglm_alt_one_2beam,P1|NEG|N2,221,0.07366666666666667
324,numerals1,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
325,numerals1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
326,numerals1,xglm_alt_one_2beam,P1|P2|NEG|N1|N2,0,0.0
